Owner,Name,Stars,IdadeMeses,PRsMes,ReleasesMes,DiasDesdeAtualizacao,LinguagemPrincipal,TotalIssues,ClosedIssues,PercentualIssuesFechadas
Snailclimb,JavaGuide,151552,88,13.45,0.00,0,Java,1104,1032,93.48
krahets,hello-algo,116064,34,27.82,0.26,0,Java,270,258,95.56
GrowingGit,GitHub-Chinese-Top-Charts,101851,72,0.00,0.00,0,Java,340,161,47.35
iluwatar,java-design-patterns,92617,133,11.33,0.00,0,Java,959,830,86.55
macrozheng,mall,81462,89,0.01,0.03,0,Java,497,487,97.99
spring-projects,spring-boot,78289,155,0.27,2.06,0,Java,39352,38776,98.54
doocs,advanced-java,78196,83,1.06,0.01,0,Java,147,146,99.32
MisterBooo,LeetCodeAnimation,76442,81,0.78,0.00,0,Java,62,42,67.74
elastic,elasticsearch,73703,187,433.45,1.10,0,Java,40779,36453,89.39
Stirling-Tools,Stirling-PDF,64956,32,71.34,4.22,0,Java,1403,1079,76.91
kdn251,interviews,64434,103,0.41,0.00,0,Java,56,24,42.86
TheAlgorithms,Java,63244,110,18.42,0.00,0,Java,1110,1108,99.82
NationalSecurityAgency,ghidra,59906,78,6.73,0.59,0,Java,5551,4093,73.73
spring-projects,spring-framework,58777,177,4.93,1.93,0,Java,27141,26859,98.96
google,guava,51074,136,7.51,0.41,0,Java,3624,2995,82.64
ReactiveX,RxJava,48279,152,21.91,1.59,0,Java,3171,3159,99.62
skylot,jadx,45351,150,3.85,0.21,0,Java,1922,1528,79.50
dbeaver,dbeaver,45136,119,51.61,1.94,0,Java,19400,16359,84.32
termux,termux-app,44712,119,1.36,0.80,0,Java,2929,2525,86.21
jeecgboot,JeecgBoot,43756,82,1.49,0.74,0,Java,7622,7596,99.66
apache,dubbo,41284,159,36.41,0.70,0,Java,7282,6478,88.96
PhilJay,MPAndroidChart,38109,137,1.39,0.32,0,Java,4964,2899,58.40
eugenp,tutorials,37247,149,89.91,0.00,0,Java,789,772,97.85
halo-dev,halo,36804,90,29.09,2.51,0,Java,4333,4030,93.01
alibaba,arthas,36679,85,6.36,0.69,0,Java,2096,1723,82.20
geekxh,hello-algorithm,35755,64,0.41,0.00,0,Java,44,33,75.00
airbnb,lottie-android,35457,107,6.66,0.55,0,Java,1780,1745,98.03
TeamNewPipe,NewPipe,34969,120,13.88,1.14,0,Java,9653,8425,87.28
bumptech,glide,34945,146,4.04,0.36,0,Java,4493,3930,87.47
doocs,leetcode,34873,84,49.10,0.25,0,Java,56,56,100.00
netty,netty,34402,178,25.03,0.00,0,Java,6723,6111,90.90
xkcoding,spring-boot-demo,33881,94,0.16,0.00,0,Java,173,73,42.20
Blankj,AndroidUtilCode,33631,110,0.80,1.06,0,Java,1589,1280,80.55
alibaba,easyexcel,33610,91,2.09,0.15,0,Java,3620,3131,86.49
zxing,zxing,33565,167,1.94,0.19,0,Java,1327,1322,99.62
SeleniumHQ,selenium,33096,152,20.01,0.71,0,Java,10953,10794,98.55
YunaiV,ruoyi-vue-pro,33062,56,1.14,0.82,0,Java,656,654,99.70
alibaba,nacos,32011,87,36.41,0.97,0,Java,9176,8924,97.25
binarywang,WxJava,31850,116,9.09,0.26,0,Java,2375,2307,97.14
apache,kafka,30818,169,70.23,0.00,0,Java,0,0,0.00
ityouknow,spring-boot-examples,30592,106,0.07,0.00,0,Java,109,99,90.83
chinabugotech,hutool,30040,137,3.34,1.12,0,Java,3002,2997,99.83
apolloconfig,apollo,29634,114,12.71,0.36,0,Java,3358,3212,95.65
keycloak,keycloak,29364,146,120.84,0.60,0,Java,15379,13390,87.07
alibaba,canal,29354,152,3.11,0.21,0,Java,4732,3570,75.44
xuxueli,xxl-job,29248,118,0.98,0.33,0,Java,3244,3037,93.62
wuyouzhuguli,SpringAll,28943,88,0.01,0.00,0,Java,48,27,56.25
alibaba,spring-cloud-alibaba,28732,93,11.63,0.52,0,Java,2502,2310,92.33
alibaba,druid,28188,166,9.16,0.31,0,Java,4540,2285,50.33
lenve,vhr,27933,92,0.01,0.00,0,Java,254,97,38.19
DrKLO,Telegram,27470,143,0.14,0.66,0,Java,0,0,0.00
conductor-oss,conductor,27339,21,11.14,1.19,0,Java,154,92,59.74
crossoverJie,JCSprout,27074,93,0.74,0.00,1,Java,89,59,66.29
qiurunze123,miaosha,26495,84,0.24,0.00,1,Java,82,80,97.56
apache,incubator-seata,25780,81,31.49,0.54,0,Java,4170,3372,80.86
alibaba,fastjson,25757,166,2.52,0.51,0,Java,3630,1695,46.69
ashishps1,awesome-system-design-resources,25726,23,0.09,0.00,0,Java,23,20,86.96
JakeWharton,butterknife,25491,150,2.31,0.00,0,Java,1193,1091,91.45
hollischuang,toBeTopJavaer,25462,83,0.63,0.00,0,Java,129,71,55.04
apache,flink,25218,135,78.19,0.00,0,Java,0,0,0.00
scwang90,SmartRefreshLayout,25150,99,0.12,0.14,0,Java,1563,1235,79.01
proxyee-down-org,proxyee-down,24868,95,0.17,0.52,1,Java,0,0,0.00
greenrobot,EventBus,24759,158,0.20,0.04,0,Java,589,488,82.85
OpenAPITools,openapi-generator,24732,88,110.85,0.83,0,Java,9310,4433,47.62
Anuken,Mindustry,24729,101,38.24,1.66,0,Java,4927,4926,99.98
bazelbuild,bazel,24512,135,14.77,1.54,0,Java,15350,13745,89.54
apache,skywalking,24503,118,41.02,0.53,0,Java,5599,5534,98.84
Netflix,Hystrix,24394,154,4.40,0.51,2,Java,1038,682,65.70
jenkinsci,jenkins,24378,178,48.64,2.48,0,Java,0,0,0.00
libgdx,libgdx,24321,157,17.54,0.09,0,Java,3825,3576,93.49
yuliskov,SmartTube,24304,62,21.40,14.68,0,Java,3330,639,19.19
CodePhiliaX,Chat2DB,24182,27,15.67,1.59,0,Java,0,0,0.00
redisson,redisson,24011,140,4.39,1.24,0,Java,5590,5324,95.24
google,gson,24007,126,6.10,0.09,0,Java,1648,1421,86.23
doocs,source-code-hunter,22937,71,1.83,0.00,0,Java,35,27,77.14
alibaba,Sentinel,22891,89,5.66,0.28,0,Java,2321,1630,70.23
iBotPeaches,Apktool,22827,162,3.60,0.16,0,Java,2962,2875,97.06
EnterpriseQualityCoding,FizzBuzzEnterpriseEdition,22756,154,0.36,0.00,0,Java,600,91,15.17
apache,rocketmq,22065,106,24.79,0.21,0,Java,4672,4458,95.42
google,ExoPlayer,21872,135,4.07,0.21,0,Java,10142,9512,93.79
elunez,eladmin,21766,81,1.00,0.01,0,Java,697,691,99.14
dataease,dataease,21691,55,179.42,1.76,0,Java,6718,6641,98.85
openjdk,jdk,21632,84,0.17,0.00,0,Java,0,0,0.00
LSPosed,LSPosed,21458,57,28.30,0.68,0,Java,0,0,0.00
CarGuo,GSYVideoPlayer,21068,106,0.41,0.50,0,Java,3869,3855,99.64
oracle,graal,21065,116,49.66,0.28,0,Java,4447,3795,85.34
brettwooldridge,HikariCP,20690,143,1.79,0.00,0,Java,1898,1404,73.97
kestra-io,kestra,20573,73,61.66,4.15,0,Java,4182,3784,90.48
kunal-kushwaha,DSA-Bootcamp-Java,20523,50,4.62,0.00,0,Java,355,168,47.32
apache,shardingsphere,20439,116,197.38,0.50,0,Java,11682,11147,95.42
didi,DoKit,20392,85,4.19,0.16,1,Java,727,490,67.40
mybatis,mybatis-3,20217,151,9.88,0.30,0,Java,1367,1241,90.78
ReactiveX,RxAndroid,20041,133,1.40,0.15,0,Java,352,351,99.72
linlinjava,litemall,19887,90,1.22,0.09,1,Java,372,332,89.25
yudaocode,SpringBoot-Labs,19847,84,0.04,0.00,0,Java,45,16,35.56
thingsboard,thingsboard,19645,105,48.00,0.67,0,Java,7564,7124,94.18
xiaojieonly,Ehviewer_CN_SXJ,19501,58,0.62,1.83,0,Java,1967,1671,84.95
dianping,cat,18929,153,5.88,0.02,0,Java,1280,1086,84.84
Baseflow,PhotoView,18873,158,0.34,0.03,0,Java,683,477,69.84
JetBrains,intellij-community,18735,168,0.64,0.02,0,Java,0,0,0.00
antlr,antlr4,18288,187,8.18,0.17,0,Java,2385,1511,63.35
williamfiset,Algorithms,18187,102,0.79,0.00,0,Java,180,118,65.56
Tencent,APIJSON,18154,106,1.32,1.03,0,Java,675,445,65.93
dromara,Sa-Token,18128,67,0.96,0.57,0,Java,687,582,84.72
forezp,SpringCloudLearning,17973,101,0.00,0.00,1,Java,53,12,22.64
LMAX-Exchange,disruptor,17971,156,0.74,0.09,0,Java,325,315,96.92
YunaiV,yudao-cloud,17806,76,0.28,0.42,0,Java,140,138,98.57
ashishps1,awesome-low-level-design,17661,22,2.55,0.00,0,Java,56,24,42.86
Tencent,tinker,17504,108,0.67,0.56,0,Java,1618,1084,67.00
openzipkin,zipkin,17292,159,11.99,0.61,0,Java,1339,1170,87.38
infinilabs,analysis-ik,17193,165,0.41,0.01,0,Java,987,621,62.92
justauth,JustAuth,17168,80,0.80,0.57,0,Java,142,79,55.63
facebook,fresco,17135,126,0.66,0.44,0,Java,2323,2082,89.63
baomidou,mybatis-plus,17093,109,4.83,0.35,0,Java,5652,5586,98.83
ben-manes,caffeine,17006,129,4.74,0.55,0,Java,752,751,99.87
material-components,material-components-android,16931,105,0.14,1.06,0,Java,3427,2784,81.24
nostra13,Android-Universal-Image-Loader,16903,166,0.31,0.00,0,Java,1228,773,62.95
alibaba,DataX,16783,92,1.96,0.08,0,Java,1657,531,32.05
winterbe,java8-tutorial,16781,138,0.07,0.00,0,Java,0,0,0.00
shuzheng,zheng,16732,107,0.09,0.00,1,Java,98,62,63.27
Grasscutters,Grasscutter,16652,41,22.93,0.49,0,Java,1089,945,86.78
heibaiying,BigData-Notes,16632,78,0.09,0.00,0,Java,42,23,54.76
JeffLi1993,springboot-learning-example,16560,103,0.06,0.00,0,Java,78,63,80.77
prestodb,presto,16485,157,80.22,0.08,0,Java,7019,5187,73.90
gyoogle,tech-interview-for-developer,16443,75,1.93,0.00,0,Java,46,37,80.43
questdb,questdb,16039,137,22.38,0.68,0,Java,2164,1464,67.65
android-hacker,VirtualXposed,15818,93,0.43,0.54,0,Java,1087,942,86.66
dyc87112,SpringBoot-Learning,15791,109,0.01,0.00,1,Java,49,14,28.57
android10,Android-CleanArchitecture,15565,133,0.11,0.00,0,Java,252,124,49.21
mockito,mockito,15271,155,9.82,1.43,0,Java,1763,1317,74.70
apache,hadoop,15239,133,33.75,0.00,0,Java,0,0,0.00
Konloch,bytecode-viewer,15195,131,1.08,0.47,0,Java,367,274,74.66
neo4j,neo4j,14999,154,51.53,0.47,0,Java,3839,3565,92.86
zhisheng17,flink-learning,14920,80,0.19,0.00,0,Java,0,0,0.00
quarkusio,quarkus,14882,86,278.80,4.79,0,Java,19307,16910,87.58
apache,pulsar,14834,111,125.64,1.00,0,Java,7250,6048,83.42
java-decompiler,jd-gui,14713,126,0.07,0.14,0,Java,400,181,45.25
elastic,logstash,14621,178,34.87,1.16,0,Java,6985,4993,71.48
eclipse-vertx,vert.x,14557,171,11.28,0.00,0,Java,2863,2742,95.77
hdodenhof,CircleImageView,14536,140,0.10,0.00,1,Java,373,369,98.93
Tencent,QMUI_Android,14514,101,0.21,0.35,0,Java,1135,709,62.47
alibaba,ARouter,14494,105,0.75,0.15,0,Java,911,786,86.28
supertokens,supertokens-core,14466,68,8.63,1.34,0,Java,525,398,75.81
arduino,Arduino,14413,180,3.97,0.21,0,Java,9881,9239,93.50
theonedev,onedev,14233,82,0.11,5.22,0,Java,0,0,0.00
deeplearning4j,deeplearning4j,14084,142,28.28,0.00,0,Java,5778,5140,88.96
zaproxy,zaproxy,14038,123,28.29,0.15,0,Java,5233,4408,84.23
GoogleContainerTools,jib,14011,92,25.21,1.83,0,Java,1723,1549,89.90
orhanobut,logger,13891,126,0.23,0.13,1,Java,205,135,65.85
Netflix,zuul,13876,150,6.65,0.19,0,Java,560,559,99.82
apache,druid,13814,155,71.85,0.44,0,Java,5209,4558,87.50
apache,dolphinscheduler,13790,78,86.69,0.68,0,Java,8021,7788,97.10
seaswalker,spring-analysis,13726,108,0.06,0.00,0,Java,16,4,25.00
pinpoint-apm,pinpoint,13704,131,57.23,0.47,0,Java,4648,4204,90.45
JessYanCoding,AndroidAutoSize,13689,85,0.05,0.16,0,Java,456,333,73.03
Curzibn,Luban,13678,110,0.10,0.05,0,Java,375,228,60.80
sqshq,piggymetrics,13670,126,0.17,0.02,0,Java,0,0,0.00
DuGuQiuBai,Java,13667,118,0.00,0.00,0,Java,70,19,27.14
lgvalle,Material-Animations,13631,126,0.10,0.00,0,Java,44,28,63.64
janishar,mit-deep-learning-book-pdf,13565,101,0.06,0.03,0,Java,18,6,33.33
cryptomator,cryptomator,13563,139,3.26,1.39,0,Java,2336,2071,88.66
tink-crypto,tink,13555,135,1.00,0.16,0,Java,469,469,100.00
LuckSiege,PictureSelector,13544,104,0.12,1.12,0,Java,2926,2389,81.65
languagetool-org,languagetool,13503,145,32.17,0.00,0,Java,6026,4029,66.86
Bigkoo,Android-PickerView,13482,129,0.25,0.00,0,Java,955,537,56.23
kekingcn,kkFileView,13287,93,1.85,0.17,0,Java,416,92,22.12
projectlombok,lombok,13257,195,1.98,0.00,0,Java,3341,2410,72.13
macrozheng,mall-learning,13247,77,0.00,0.00,1,Java,89,84,94.38
youth5201314,banner,13039,113,0.13,0.00,0,Java,1224,1182,96.57
pxb1988,dex2jar,12891,126,0.19,0.06,0,Java,591,215,36.38
ashishps1,awesome-leetcode-resources,12790,23,0.35,0.00,0,Java,10,5,50.00
Netflix,conductor,12776,105,11.50,3.04,0,Java,1577,1429,90.62
facebook,stetho,12710,128,2.10,0.10,0,Java,378,314,83.07
codecentric,spring-boot-admin,12672,134,19.02,1.01,0,Java,1744,1709,97.99
google,guice,12668,136,2.62,0.14,0,Java,1199,861,71.81
alibaba,COLA,12634,91,1.10,0.12,0,Java,339,271,79.94
greenrobot,greenDAO,12631,167,0.22,0.05,0,Java,992,797,80.34
Netflix,eureka,12617,158,4.82,0.96,1,Java,667,564,84.56
macrozheng,mall-swarm,12588,70,0.00,0.04,0,Java,119,113,94.96
apache,zookeeper,12588,198,1.18,0.00,0,Java,0,0,0.00
zhihu,Matisse,12570,101,0.66,0.15,0,Java,721,309,42.86
daimajia,AndroidViewAnimations,12472,135,0.16,0.07,3,Java,140,82,58.57
metersphere,metersphere,12431,67,332.21,2.67,0,Java,10475,10386,99.15
daimajia,AndroidSwipeLayout,12405,133,0.17,0.14,0,Java,506,148,29.25
pagehelper,Mybatis-PageHelper,12339,135,0.36,0.11,0,Java,769,708,92.07
redis,jedis,12145,183,8.32,0.62,1,Java,1901,1820,95.74
amitshekhariitbhu,android-interview-questions,12049,98,0.74,0.00,0,Java,35,24,68.57
Yalantis,uCrop,12039,116,0.99,0.17,0,Java,733,451,61.53
plantuml,plantuml,12019,178,3.47,0.32,0,Java,1363,830,60.90
Tencent,matrix,11897,81,2.05,0.20,1,Java,652,284,43.56
Tencent,VasSonic,11869,97,0.72,0.10,4,Java,245,203,82.86
grpc,grpc-java,11835,129,56.81,1.40,0,Java,3730,3286,88.10
trinodb,trino,11818,80,176.54,0.00,0,Java,7428,5128,69.04
Team-xManager,xManager,11805,55,1.58,0.93,0,Java,0,0,0.00
debezium,debezium,11790,116,47.60,0.00,0,Java,0,0,0.00
frank-lam,fullstack-tutorial,11683,89,0.29,0.00,0,Java,39,18,46.15
code4craft,webmagic,11618,149,0.94,0.22,0,Java,946,609,64.38
xpipe-io,xpipe,11529,32,0.53,3.69,0,Java,508,464,91.34
OpenRefine,OpenRefine,11492,155,21.97,0.46,0,Java,3244,2590,79.84
realm,realm-java,11485,161,16.88,0.00,1,Java,4596,4233,92.10
opensearch-project,OpenSearch,11474,56,178.38,1.05,0,Java,6759,4680,69.24
careercup,CtCI-6th-Edition,11459,122,0.34,0.00,0,Java,74,22,29.73
gyf-dev,ImmersionBar,11451,101,0.01,0.00,0,Java,566,435,76.86
newbee-ltd,newbee-mall,11388,72,0.04,0.00,0,Java,79,73,92.41
PaperMC,Paper,11386,116,30.87,0.00,0,Java,7100,6711,94.52
provectus,kafka-ui,11244,70,23.57,0.36,0,Java,1774,1502,84.67
jhy,jsoup,11242,189,2.02,0.11,1,Java,1567,1563,99.74
permissions-dispatcher,PermissionsDispatcher,11235,121,2.15,0.33,7,Java,484,455,94.01
mission-peace,interview,11208,134,0.54,0.00,0,Java,87,26,29.89
apereo,cas,11187,168,28.71,1.79,0,Java,0,0,0.00
H07000223,FlycoTabLayout,11128,118,0.00,0.03,2,Java,536,180,33.58
daniulive,SmarterStreaming,11115,114,0.00,0.00,0,Java,130,123,94.62
lingochamp,FileDownloader,11112,117,0.31,0.56,4,Java,1366,1190,87.12
beemdevelopment,Aegis,11063,109,3.96,0.66,0,Java,1165,1087,93.30
jfeinstein10,SlidingMenu,11050,159,0.22,0.00,4,Java,647,383,59.20
androidannotations,androidannotations,11040,164,3.36,0.00,0,Java,1658,1608,96.98
datahub-project,datahub,10999,118,89.23,0.88,0,Java,2477,2158,87.12
doocs,jvm,10959,87,0.25,0.00,0,Java,16,4,25.00
LawnchairLauncher,lawnchair,10908,102,14.18,0.29,0,Java,3899,3426,87.87
square,javapoet,10870,151,2.44,0.00,2,Java,416,324,77.88
ssssssss-team,spider-flow,10856,66,0.17,0.03,0,Java,44,34,77.27
jwtk,jjwt,10833,132,2.10,0.07,0,Java,598,573,95.82
apple,pkl,10831,20,23.75,0.80,0,Java,343,187,54.52
microg,GmsCore,10804,137,2.89,0.30,0,Java,2360,1258,53.31
alibaba,vlayout,10777,103,0.13,0.33,4,Java,503,313,62.23
aosp-mirror,platform_frameworks_base,10756,203,0.00,0.00,0,Java,0,0,0.00
asLody,VirtualApp,10737,110,1.24,0.00,0,Java,0,0,0.00
TooTallNate,Java-WebSocket,10731,188,1.64,0.10,0,Java,1074,1030,95.90
clojure,clojure,10707,183,0.01,0.00,0,Java,0,0,0.00
android-async-http,android-async-http,10635,175,0.94,0.02,7,Java,1097,977,89.06
jeasonlzy,okhttp-OkGo,10603,116,0.04,0.12,0,Java,977,515,52.71
StarRocks,starrocks,10576,48,931.90,3.17,0,Java,8838,8330,94.25
google,auto,10518,148,3.92,0.45,0,Java,493,422,85.60
lipangit,JiaoZiVideoPlayer,10494,115,0.36,0.68,5,Java,2662,2394,89.93
tbruyelle,RxPermissions,10487,120,0.31,0.09,2,Java,287,196,68.29
Activiti,Activiti,10422,156,11.69,6.41,0,Java,2402,1846,76.85
zfile-dev,zfile,10369,73,0.16,0.92,1,Java,664,617,92.92
resilience4j,resilience4j,10351,123,5.72,0.28,0,Java,1272,1024,80.50
JessYanCoding,MVPArms,10294,109,0.30,0.23,3,Java,329,281,85.41
awsdocs,aws-doc-sdk-examples,10183,109,41.00,0.00,0,Java,2364,2226,94.16
JakeWharton,ViewPagerIndicator,10108,169,0.12,0.00,1,Java,281,146,51.96
signalapp,Signal-Server,10044,141,0.18,0.00,0,Java,0,0,0.00
stanfordnlp,CoreNLP,9965,147,0.82,0.13,0,Java,1131,951,84.08
wasabeef,glide-transformations,9930,128,0.27,0.00,0,Java,156,105,67.31
googlesamples,easypermissions,9917,117,0.77,0.10,4,Java,241,205,85.06
paascloud,paascloud-master,9894,90,0.03,0.00,1,Java,125,42,33.60
uknownothingsnow,JsBridge,9888,127,0.25,0.00,3,Java,238,96,40.34
SonarSource,sonarqube,9844,176,12.43,0.37,0,Java,0,0,0.00
hackware1993,MagicIndicator,9804,111,0.05,0.11,0,Java,287,101,35.19
HarlonWang,AVLoadingIndicatorView,9769,119,0.07,0.01,4,Java,104,38,36.54
OpenFeign,feign,9729,147,10.42,0.27,2,Java,1073,851,79.31
YoKeyword,Fragmentation,9727,115,0.27,0.26,4,Java,1223,1034,84.55
lihengming,spring-boot-api-project-seed,9681,99,0.01,0.04,1,Java,198,105,53.03
xuchengsheng,spring-reading,9678,24,0.04,0.00,0,Java,32,2,6.25
perwendel,spark,9659,172,1.57,0.00,1,Java,755,551,72.98
ksoichiro,Android-ObservableScrollView,9655,130,0.14,0.00,4,Java,264,89,33.71
react-native-camera,react-native-camera,9648,125,6.17,1.15,0,Java,2382,2309,96.94
koral--,android-gif-drawable,9630,152,0.78,0.40,0,Java,688,651,94.62
bilibili,DanmakuFlameMaster,9602,145,0.28,0.03,1,Java,411,155,37.71
spinnaker,spinnaker,9573,134,11.72,0.10,0,Java,5505,5373,97.60
liaohuqiu,android-Ultra-Pull-To-Refresh,9568,130,0.15,0.06,3,Java,296,146,49.32
MyCATApache,Mycat-Server,9555,129,7.67,0.05,1,Java,1725,791,45.86
umano,AndroidSlidingUpPanel,9505,148,0.55,0.05,12,Java,829,562,67.79
crossoverJie,cim,9442,88,0.66,0.10,0,Java,97,59,60.82
pockethub,PocketHub,9384,168,2.26,0.01,8,Java,668,538,80.54
Justson,AgentWeb,9353,100,0.10,0.21,1,Java,1050,962,91.62
apache,cassandra,9351,196,0.91,0.00,0,Java,0,0,0.00
seven332,EhViewer,9311,136,0.42,0.71,0,Java,595,400,67.23
huanghaibin-dev,CalendarView,9308,102,0.08,0.01,0,Java,823,374,45.44
GcsSloop,AndroidNote,9292,116,0.09,0.00,4,Java,101,52,51.49
spring-projects,spring-security,9280,164,18.06,1.38,0,Java,13176,12114,91.94
json-path,JsonPath,9277,176,1.29,0.06,0,Java,659,314,47.65
android,testing-samples,9276,131,1.37,0.00,0,Java,233,150,64.38
cats-oss,android-gpuimage,9126,155,0.45,0.00,2,Java,420,87,20.71
flyway,flyway,9060,153,1.23,1.73,0,Java,3528,3324,94.22
didi,VirtualAPK,9041,99,0.09,0.04,0,Java,359,245,68.25
navasmdc,MaterialDesignLibrary,8975,132,0.15,0.02,4,Java,335,125,37.31
apache,jmeter,8973,184,1.99,0.05,0,Java,5392,4509,83.62
KunMinX,Jetpack-MVVM-Best-Practice,8950,71,0.99,0.00,0,Java,61,58,95.08
langchain4j,langchain4j,8882,27,49.04,1.89,0,Java,1582,1099,69.47
Freelander,Android_Data,8842,125,0.04,0.00,2,Java,7,5,71.43
nathanmarz,storm,8811,168,0.86,0.00,3,Java,0,0,0.00
laobie,StatusBarUtil,8806,115,0.05,0.00,4,Java,289,180,62.28
java-native-access,jna,8794,173,3.55,0.00,0,Java,817,718,87.88
apache,seatunnel,8760,97,43.59,0.53,0,Java,4193,4083,97.38
Blankj,awesome-java-leetcode,8717,101,0.01,0.00,4,Java,26,21,80.77
chrisbanes,Android-PullToRefresh,8689,166,0.18,0.00,13,Java,0,0,0.00
flowable,flowable-engine,8684,107,19.99,0.26,0,Java,1364,1010,74.05
ybq,Android-SpinKit,8665,114,0.11,0.00,0,Java,81,21,25.93
checkstyle,checkstyle,8662,145,56.01,1.17,0,Java,5746,4892,85.14
karatelabs,karate,8651,103,3.90,0.52,3,Java,2146,2068,96.37
apache,shenyu,8650,86,36.13,0.15,0,Java,2398,2264,94.41
shwenzhang,AndResGuard,8621,119,0.31,0.03,5,Java,474,314,66.24
react-native-image-picker,react-native-image-picker,8586,123,2.43,1.15,0,Java,1691,1403,82.97
chrisjenx,Calligraphy,8571,141,0.48,0.03,5,Java,390,308,78.97
airbnb,epoxy,8564,109,4.09,0.70,0,Java,892,587,65.81
amitshekhariitbhu,Android-Debug-Database,8561,106,0.36,0.13,2,Java,179,106,59.22
facebook,buck,8557,149,0.77,0.38,4,Java,1482,1278,86.23
dropwizard,dropwizard,8553,176,39.66,1.07,1,Java,1609,1596,99.19
junit-team,junit4,8536,200,2.36,0.07,0,Java,836,836,100.00
frohoff,ysoserial,8497,128,0.52,0.01,0,Java,108,83,76.85
google,tsunami-security-scanner,8460,63,0.27,0.43,0,Java,86,84,97.67
roughike,BottomBar,8393,114,0.59,0.04,4,Java,744,486,65.32
hs-web,hsweb-framework,8382,116,1.08,0.26,2,Java,177,171,96.61
PojavLauncherTeam,PojavLauncher,8361,66,4.42,1.91,0,Java,6157,6045,98.18
LSPosed,LSPatch,8359,54,1.17,0.17,0,Java,140,128,91.43
DImuthuUpe,AndroidPdfViewer,8352,111,0.21,0.00,0,Java,1159,455,39.26
ZCShou,GoGoGo,8351,45,1.56,0.18,0,Java,89,80,89.89
testcontainers,testcontainers-java,8311,125,40.22,0.68,0,Java,2350,1938,82.47
wildfirechat,im-server,8287,80,0.15,1.34,0,Java,702,694,98.86
apache,beam,8283,115,175.24,0.45,0,Java,7869,3486,44.30
apache,shardingsphere-elasticjob,8205,120,7.88,0.25,2,Java,1321,1201,90.92
pentaho,pentaho-kettle,8154,143,62.59,0.01,0,Java,0,0,0.00
alibaba,atlas,8153,103,0.31,0.07,0,Java,336,250,74.40
alibaba,otter,8124,145,0.32,0.07,0,Java,1049,730,69.59
alibaba,transmittable-thread-local,8120,143,2.20,0.41,0,Java,305,271,88.85
cabaletta,baritone,8120,85,4.61,1.00,0,Java,4110,3286,79.95
florent37,MaterialViewPager,8115,125,0.22,0.09,4,Java,326,146,44.79
guolindev,LitePal,8100,151,0.01,0.00,3,Java,826,728,88.14
HMCL-dev,HMCL,8086,123,11.37,2.08,0,Java,2515,2298,91.37
bytedeco,javacv,8077,137,0.88,0.09,0,Java,2146,1697,79.08
aeron-io,aeron,8067,139,5.67,0.91,0,Java,856,840,98.13
aritraroy,UltimateAndroidReference,8066,101,0.59,0.00,0,Java,12,12,100.00
Netflix,SimianArmy,7985,158,1.21,0.03,3,Java,106,67,63.21
davemorrissey,subsampling-scale-image-view,7985,145,0.21,0.14,0,Java,525,481,91.62
junixapp,XPopup,7961,81,0.02,2.73,2,Java,1233,1082,87.75
apache,tomcat,7938,167,1.35,0.00,0,Java,0,0,0.00
JakeWharton,hugo,7932,142,0.17,0.00,0,Java,120,67,55.83
